Lake_Series,Lake_Name,Date,pH,Contaminants,Bacteria_Level,Temperature,Turbidity,Dissolved_Oxygen,Nitrogen_Levels,Alkalinity_Level,Calcium_Hardness,Magnesium_Hardness,Sodium,Chloride_Levels,Total_Dissolved_Solids,Cadmium,Iron,Lead,Mercury,Zinc,Nitrate,Nitrite,Nickel
Vrishabhavathi Valley,Dorekere Lake,13-01-2021,7.75,116.69,2997.68,27.09,2.27,6.96,4.28,158.2,122.12,143.59,15.21,159.58,973.5,0.0045,0.27,0.004,0.0001,0.042,1.28,0.05,0.14
Vrishabhavathi Valley,Dorekere Lake,27-07-2020,8.69,95.17,1359.64,28.05,6.02,12.7,5.41,39.41,65.82,22.38,97.23,212.34,335.76,0.0021,0.15,0.016,0.0002,0.022,1.33,0.04,0.1
Vrishabhavathi Valley,Dorekere Lake,09-04-2023,8.45,103.09,1818.19,34.79,2.35,14.76,9.56,24.25,291.51,21.28,51.08,12.02,871.74,0.0012,0.19,0.015,0.0001,0.049,1.36,0.02,0.1
Vrishabhavathi Valley,Dorekere Lake,17-07-2021,6.71,28.3,1107.35,21.98,2.67,6.55,8.47,67.08,154.44,85.03,56.27,191.05,652.78,0.0008,0,0.005,0.0001,0.012,2.41,0.01,0.14
Vrishabhavathi Valley,Dorekere Lake,11-10-2023,6.34,133.48,856.38,28.31,6.2,11.15,1.34,80.72,161.93,42.75,7.59,207.62,414.86,0.001,0.02,0.008,0.0002,0.019,0.12,0.07,0.14
Vrishabhavathi Valley,Dorekere Lake,30-06-2022,7.72,97.32,1905.32,30.52,1.16,13.78,6.53,94.4,19.65,100.23,39.88,149.67,345.21,0.0024,0.27,0.004,0.0002,0.048,1.35,0.03,0.1
Vrishabhavathi Valley,Dorekere Lake,02-05-2020,7.26,68.25,451.58,13.24,1.5,3.34,2.46,45.78,18.35,149.27,26.68,27.46,526.92,0.0022,0.03,0.01,0.0001,0.026,0.6,0.06,0.12
Vrishabhavathi Valley,Dorekere Lake,03-09-2022,6.02,145.11,1639.18,26.39,5.98,12.74,9.82,120.38,165.55,19.36,19.05,7.42,529.52,0.0027,0.22,0.006,0.0002,0.011,2.02,0.02,0.15
Vrishabhavathi Valley,Dorekere Lake,26-04-2024,7.15,145.93,535.03,34.25,5.07,10.99,9.24,192.65,193.2,24.19,64.87,192.25,771.99,0.0044,0.14,0.017,0.0001,0.048,0.91,0.01,0.11
Vrishabhavathi Valley,Dorekere Lake,28-04-2021,8.4,56.23,2499.19,12.68,2.04,9.4,5.3,120.14,114.99,16.61,42.82,97.35,213.93,0.0042,0.07,0.02,0.0002,0.037,0.78,0.02,0.13
Vrishabhavathi Valley,Dorekere Lake,06-08-2020,8,30.68,1276.22,14.4,5.51,13.02,7.05,59.62,51.1,133.6,14.33,27.75,815.64,0.0035,0.16,0.02,0.0001,0.04,0.31,0.04,0.12
Vrishabhavathi Valley,Dorekere Lake,20-09-2020,7.61,2.19,1058.31,12.15,6.58,5.58,9.51,127.48,72.32,77.24,82.6,93.16,280.59,0.0021,0.26,0.012,0.0002,0.02,1.33,0.06,0.14
Vrishabhavathi Valley,Dorekere Lake,18-12-2022,6.68,111.25,1655.9,14.63,0.92,9.8,5.06,127.59,74.55,67.08,96.07,26.29,531.42,0.0036,0.06,0.014,0.0002,0.037,2.51,0.03,0.14
Vrishabhavathi Valley,Dorekere Lake,12-05-2024,7.14,145.94,1290.84,31.39,5.7,10.91,6.9,112.78,76.04,14.04,21.76,201.47,638.36,0.0031,0.17,0.002,0.0002,0.015,0.91,0.01,0.15
Vrishabhavathi Valley,Dorekere Lake,09-05-2023,6.3,61.77,1855.23,26.14,5.88,5.88,6.85,195.09,218.78,52.25,74.73,142.57,874.59,0.0031,0.25,0.019,0.0001,0.012,0.42,0.04,0.1
Vrishabhavathi Valley,Dorekere Lake,22-09-2020,6.17,129.14,2398.86,29.54,5.12,8.42,9.8,37.26,41.39,57.96,83,26.79,150.14,0.0012,0.15,0.016,0.0002,0.036,1.18,0.08,0.13
Vrishabhavathi Valley,Dorekere Lake,18-02-2020,6.92,16.84,345.94,34.09,5.38,10.45,2.45,125.57,118.11,65.76,97.59,150.63,45.94,0.0025,0.12,0.013,0.0002,0.023,0.43,0.07,0.11
Vrishabhavathi Valley,Dorekere Lake,21-12-2022,7.48,79.78,320.45,14.56,0.15,3.07,9.33,161.01,207.05,89.82,80.46,60.3,260.49,0.0041,0.3,0.015,0.0002,0.043,2.26,0.01,0.13
Vrishabhavathi Valley,Dorekere Lake,30-04-2024,7.23,41.77,2600.33,30.72,0.55,7.01,0.87,103.49,147.06,86.87,9.84,15.74,753.57,0.004,0.04,0.011,0.0002,0.008,1.93,0.01,0.13
Vrishabhavathi Valley,Dorekere Lake,16-07-2021,8.25,11.2,2201.28,32.17,4.95,3.99,5.98,124.02,261.94,44.22,88.39,70.75,431.85,0.0043,0.18,0.011,0.0001,0.048,0.06,0.03,0.11
Vrishabhavathi Valley,Dorekere Lake,14-07-2023,8.97,138.3,2520.09,31.16,5.8,6.97,8.84,27.19,177.13,14.55,19.71,120.54,408.3,0.0021,0.3,0.008,0.0002,0.045,0.27,0.09,0.13
Vrishabhavathi Valley,Dorekere Lake,08-10-2022,8.62,56.28,259.33,30.12,2.91,5.88,6.7,27.94,275.24,6.06,72.56,154.25,747.73,0.0027,0.04,0.005,0.0001,0.008,2.54,0.04,0.12
Vrishabhavathi Valley,Dorekere Lake,17-08-2020,7.58,7.59,1766.61,23.58,5.71,8.48,6.09,150.07,48.55,6.31,88.24,130.18,237.11,0.0029,0.05,0.002,0.0001,0.045,2.52,0.05,0.13
Vrishabhavathi Valley,Dorekere Lake,27-06-2022,8.56,141.18,2024.11,12.38,0.6,7.15,9.38,79.01,280.47,7.22,35.37,206.55,557.1,0.0045,0.17,0.003,0.0002,0.008,0.69,0.02,0.13
Vrishabhavathi Valley,Dorekere Lake,11-04-2020,6.08,100.09,1687.64,31.06,3.07,14.7,5.47,151.21,279.06,68.34,90.55,242.3,517.34,0.0026,0.02,0.011,0.0002,0.022,2.48,0.07,0.13
Vrishabhavathi Valley,Dorekere Lake,18-06-2022,8.31,145.64,2003.06,28.21,4.24,13.65,1.04,164.16,127.07,144.05,80.44,17.23,380.87,0.0044,0.29,0.016,0.0002,0.029,1.22,0.06,0.15
Vrishabhavathi Valley,Dorekere Lake,14-05-2024,6.76,57.67,97.44,35.27,2.93,10.39,8.34,29.1,290.68,0.52,83.67,123.33,505.76,0.0046,0.1,0.007,0.0001,0.015,0.92,0.08,0.12
Vrishabhavathi Valley,Dorekere Lake,16-02-2022,8.41,40.16,2895.98,28.39,1,9.09,3.5,40.5,118.77,70.89,67.11,190.27,835.86,0.0039,0.17,0.008,0.0002,0.041,2.47,0.01,0.11
Vrishabhavathi Valley,Dorekere Lake,20-10-2021,8.94,19.27,2687.09,37.31,2.03,3.57,5.25,74.45,288.04,56.39,81.81,132.93,331.03,0.0028,0.25,0.003,0.0002,0.046,2.66,0.07,0.11
Vrishabhavathi Valley,Dorekere Lake,24-03-2021,8.96,32.11,634.3,39.13,4.39,12.19,5.52,66.62,181.78,76.79,68.56,85.13,489.45,0.0007,0.17,0.009,0.0001,0.003,2.14,0.08,0.13
Vrishabhavathi Valley,Dorekere Lake,31-03-2024,7.07,118.58,1010.05,29.36,3.59,13.96,1.51,156.66,14.69,88.87,72.04,244.9,399.07,0.0029,0.01,0.017,0.0002,0.01,1.43,0.01,0.12
Vrishabhavathi Valley,Dorekere Lake,28-04-2022,8.19,41.63,987.92,32.21,6.39,14.59,0.9,32.68,191.39,146.85,89.97,49.15,57.77,0.0037,0.19,0.013,0.0002,0.035,1.73,0.01,0.13
Vrishabhavathi Valley,Dorekere Lake,04-07-2020,6.81,25.21,2911.28,25.71,6.31,4.1,9.5,118.34,127.14,81.76,8.87,153.1,693.23,0.0031,0.22,0.018,0.0001,0.032,0.63,0.09,0.14
Vrishabhavathi Valley,Dorekere Lake,16-11-2020,8.16,114.27,1076.74,14.65,4.25,12.24,5.28,93.69,220.4,65.76,95.85,1.34,736.07,0.0019,0.07,0.013,0.0001,0.02,0.84,0.1,0.1
Vrishabhavathi Valley,Dorekere Lake,20-07-2020,6.49,113.6,2817.12,17.42,4.72,6.19,7.85,163.51,138.99,53.45,69.31,9.91,595.62,0.0017,0.29,0.017,0.0001,0.049,1.52,0.01,0.1
Vrishabhavathi Valley,Dorekere Lake,10-05-2020,6.9,100.27,2330.92,21.02,5.02,4.64,4.08,107.86,256.82,81.65,17.47,67.6,674.51,0.0019,0.26,0.009,0.0002,0.026,1.61,0.09,0.12
Vrishabhavathi Valley,Dorekere Lake,04-03-2022,8.61,98.09,2438.42,19.62,5.78,3.04,3.44,109.82,164.92,94.78,17.1,7.64,900.7,0.0041,0.15,0.013,0.0001,0.043,0.9,0.09,0.13
Vrishabhavathi Valley,Dorekere Lake,29-09-2022,8.3,121.97,1313.21,12.97,1.54,9.03,5.9,112.36,162.21,41.25,64.95,225.86,654.74,0.0012,0.2,0.018,0.0002,0.032,0.13,0.04,0.15
Vrishabhavathi Valley,Dorekere Lake,21-03-2021,7.1,136.22,1486.71,32.66,4.46,5.68,6.15,94.73,71.79,87.1,17.35,36.19,168.03,0.0036,0.02,0.004,0.0002,0.048,1.87,0.07,0.11
Vrishabhavathi Valley,Dorekere Lake,15-11-2022,6.45,82.04,2214.52,32.26,4.56,13.14,7.46,51.68,88.9,28.95,1.15,109.99,166.3,0.0017,0.09,0.003,0.0001,0.031,2.99,0.03,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,15-09-2022,8.62,75.54,2419.74,38.65,4.71,5.76,8.71,134.83,177.31,138.86,38.58,126.66,541.65,0.0047,0.08,0.014,0.0002,0.049,0.49,0.07,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,11-07-2023,6.64,148.44,1422.37,31.93,6.13,5.33,5.34,149.03,254.23,117.36,66.87,23.89,616.9,0.0033,0.09,0.003,0.0002,0.046,1.46,0.03,0.1
Vrishabhavathi Valley,Hosakerehalli Lake,21-09-2022,8.7,37.54,2676.87,12.39,0.67,11.13,1.41,123.14,21.44,113.08,63.41,247.69,9.74,0.0016,0.15,0.008,0.0002,0.04,0.64,0.07,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,29-06-2020,8.52,135.96,1285.32,22.11,2.82,13.91,5.24,198.82,32.92,96.81,74.68,94.68,407.36,0.0018,0.06,0.011,0.0001,0.025,2.89,0.07,0.13
Vrishabhavathi Valley,Hosakerehalli Lake,09-04-2022,6.66,137.32,742.6,21.21,0.12,13.65,2.85,69.78,122.77,4.88,59.24,245.3,148.23,0.0019,0.13,0.002,0.0001,0.045,1.06,0.01,0.1
Vrishabhavathi Valley,Hosakerehalli Lake,03-01-2021,7.5,139.56,2157.69,28.45,4.12,3.13,6.49,117.64,152.29,68.88,70.9,157.98,682.13,0.0036,0.25,0.017,0.0001,0.024,0.49,0.01,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,10-08-2023,6.87,111.44,1899.49,17.14,0.35,4.48,2.65,162.02,34.08,119.66,2.18,158.89,700.34,0.0035,0.15,0.008,0.0001,0.014,2.54,0.1,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,11-07-2023,6.98,110.67,1502.86,30.76,5.71,4.97,5.71,94.04,16.59,29.42,56.46,191.35,7.83,0.002,0.1,0.004,0.0001,0.032,0.93,0.09,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,13-07-2023,8.25,33.67,1232.98,29.02,4.76,10.79,8.66,172.47,93.46,33.51,83.12,8.93,260.8,0.0017,0.19,0.01,0.0002,0.016,0.6,0.1,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,12-11-2020,7.15,97.79,425.93,18.5,1.46,6.25,4.15,28.47,204.76,147.67,77.51,87.95,495.7,0.0042,0.02,0.006,0.0002,0.026,2.81,0.01,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,29-10-2023,6.28,146.22,1368.78,39.88,4.24,13.44,2.6,143.79,206.08,85.53,28.63,112.92,960.82,0.002,0.23,0.014,0.0001,0.034,0.88,0.03,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,17-01-2021,7.39,48.92,283.45,14.21,2.62,7.88,5.05,140.4,101.83,55.53,13.2,141.58,354.42,0.0004,0.07,0.007,0.0001,0.029,2.82,0.08,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,01-12-2022,6.27,75.95,1737.03,38.05,5.63,6.38,6.54,82.12,133.47,37.33,80.85,140.45,418.95,0.0038,0.29,0.017,0.0001,0.028,2.99,0.08,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,12-03-2022,7.87,28.27,211.64,10.92,5.91,11.27,7.3,107.82,100.75,48.85,44.01,170.76,535.66,0.0021,0.24,0.01,0.0002,0.048,2.91,0.07,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,16-09-2021,7.86,54.96,2639.97,36.31,0.02,5.37,2.31,154.29,207.15,127.23,12.38,123.95,831.1,0.0021,0.25,0.006,0.0001,0.022,2.88,0.04,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,29-03-2021,8.95,75.86,124.97,22.12,6.65,9.18,0.18,48.55,252.56,134.67,48.92,210.74,742.12,0.0008,0.25,0.008,0.0001,0.008,2.93,0.03,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,18-09-2022,7.95,77.29,2846.25,13.12,3.99,11.25,4.78,139.56,82.6,68.69,26.75,213.88,125.01,0.0048,0.13,0.02,0.0002,0.023,1.68,0.02,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,02-07-2020,8.76,13.57,965.46,18,5.88,9.89,9.63,82.12,20.93,105.56,91.91,105.03,649.24,0.0048,0.11,0.013,0.0002,0.025,1.45,0.03,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,01-09-2021,8.82,104.15,1366,35.33,4.81,11.57,8.62,49.33,71.64,123.71,58.79,19.46,763.21,0.0026,0.07,0.016,0.0002,0.009,2.81,0.06,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,31-05-2020,7.96,69.94,282.96,21.32,0.14,12.6,1.8,134.39,22.03,142.4,46.89,219.44,925.92,0.0019,0,0.014,0.0002,0.047,2.78,0.07,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,30-11-2021,6.17,145.03,2406.16,37.09,2.45,13.47,2.27,27.04,236.42,55.51,89.08,10.11,138.6,0.0014,0.14,0.008,0.0001,0.011,1.07,0.02,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,17-12-2020,6.05,128.95,2152.53,23.55,5.35,6.06,0.89,139.38,281.76,149.2,44.99,39.8,711.67,0.0025,0.23,0.004,0.0001,0.039,0.14,0.03,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,28-08-2020,8.07,69.14,1329.34,24.99,3.03,6.85,6.04,140.63,58.58,135.43,83.42,190.81,856.35,0.0047,0.29,0.002,0.0002,0.022,2,0.08,0.13
Vrishabhavathi Valley,Hosakerehalli Lake,17-05-2021,7.74,55.98,2648.82,30.95,4.17,9.7,8.05,126.01,187.56,66.06,50.64,199.52,550.56,0.0021,0.06,0.008,0.0001,0.006,0.49,0.01,0.1
Vrishabhavathi Valley,Hosakerehalli Lake,22-07-2022,8.91,26.98,1325.19,20.7,6.98,12.96,0.04,70.86,26.63,12.1,98.81,141.32,285.06,0.0019,0.09,0.007,0.0002,0.034,2.99,0.06,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,11-02-2020,8.58,143.87,189.48,22.68,4.39,5.09,2.05,165.43,266.04,102.11,88.5,184.06,702.56,0.005,0.16,0.002,0.0001,0.015,2.45,0.09,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,21-01-2024,7.57,18.6,2678.83,39.17,2.31,7.57,7.03,136.83,141.87,149.2,89.95,40.11,390.25,0.0028,0.09,0.007,0.0002,0.045,1.26,0.06,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,22-11-2023,6.29,116.1,1522.88,24.08,0.5,3.58,8,130.01,86.63,47.52,1.39,128.37,797.94,0.0046,0.03,0.007,0.0002,0.042,2.38,0.08,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,07-08-2020,6.51,59.18,979.39,18.92,4.65,5,9.11,39.52,278.35,123.24,86.16,112.02,49.37,0.0002,0.29,0.003,0.0002,0.015,2.38,0.09,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,30-11-2020,8.92,105.37,2843.98,13.79,2.05,7.84,8.19,67.13,138.57,42.7,40.12,64.12,292.71,0.0007,0.07,0.012,0.0001,0.004,1.55,0.02,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,29-09-2020,7.57,118.31,2196.87,28.72,2.07,8.55,4.56,77.62,146.68,123.55,39.77,214.56,695.44,0.004,0.23,0.011,0.0001,0.032,2.43,0.03,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,08-02-2020,7.89,149.14,1273.46,32.23,2.84,9.42,3.84,125.03,59.38,89.06,82.53,122.59,917.2,0.0041,0.21,0.009,0.0001,0.031,0.26,0.08,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,13-10-2022,7.59,9.01,1596.29,35.35,6.29,13.28,5.96,38.99,73.36,82.25,32.57,173.47,19.14,0.0014,0.01,0.019,0.0001,0.034,0.24,0.1,0.1
Vrishabhavathi Valley,Hosakerehalli Lake,07-02-2022,7.3,122.9,2182.47,29.51,0.1,4.62,7.98,55.99,290.62,30.85,3.47,106.69,342.84,0.0007,0.15,0.005,0.0002,0.033,2.32,0.03,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,14-05-2024,8.52,63.28,329.46,35.26,4.65,11.03,0.02,107.82,105.35,110.1,79.12,105.74,40.94,0.0039,0.11,0.003,0.0001,0.022,0.71,0.07,0.1
Vrishabhavathi Valley,Hosakerehalli Lake,05-01-2021,6.88,141.75,2.86,15.09,6.44,6.96,7.24,45.39,33.34,1.87,21.15,157.38,640.73,0.0009,0.09,0.013,0.0002,0.014,1.75,0.09,0.13
Vrishabhavathi Valley,Hosakerehalli Lake,19-03-2023,6.09,77.4,2399.54,34.82,1.17,4.09,7.65,97.78,87.68,0.96,84.61,123.11,965,0.0021,0.03,0.01,0.0001,0.022,0.79,0.1,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,18-09-2020,8.65,145.18,681.94,37.42,2.54,12.09,8.28,135.07,268.53,72.15,90,0.32,804.91,0.0015,0.06,0.007,0.0001,0.004,1.41,0.03,0.13
Vrishabhavathi Valley,Hosakerehalli Lake,22-01-2023,8.11,43.25,845.7,17.04,2.41,6.49,1.7,49.57,83.36,109.09,62.86,75.46,172.51,0.0014,0.1,0.001,0.0002,0.02,0.07,0.09,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,31-12-2023,6.05,134.69,2124.71,26.45,2.02,6.84,9.38,71.91,120.82,91.08,72.41,75.84,862.1,0.005,0.26,0.018,0.0001,0.02,2.45,0.08,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,25-02-2020,6.05,125.23,2280.23,13.05,2.1,8.42,5.93,54.47,82.54,46.29,97.08,51.14,21.89,0.0043,0.29,0.003,0.0001,0.037,2.28,0.05,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,17-08-2021,8.75,72.59,2020.61,35.29,0.71,14.71,2.82,54.99,73.3,55.53,45.52,211.87,801.72,0.0004,0.05,0.007,0.0001,0.047,1.62,0.04,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,22-12-2022,7.3,44.43,560.08,38.94,0.05,10.28,0.12,192.61,260.59,74.78,1.18,183.49,952.56,0.0017,0.14,0.018,0.0001,0.041,2.2,0.04,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,04-03-2024,6.75,144.66,2828.29,30.26,1.77,3.06,0.93,146.56,24.58,97.25,82.49,94.27,285.72,0.0005,0.05,0.018,0.0002,0.022,0.1,0.06,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,03-02-2024,7.77,144.35,1259.47,37.5,1.99,12.33,5.06,24.18,161.62,104.16,20.42,172.56,977.58,0.0003,0.16,0.011,0.0001,0.032,1.45,0.07,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,26-11-2021,6.53,86.44,529.74,12.01,3.69,7,0.73,57.45,141.58,108.25,24.18,8.11,143.57,0.004,0.18,0.005,0.0002,0.036,0.66,0.07,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,08-09-2022,8.38,56.59,105.29,23.61,5.8,10.37,7.75,173.09,41.16,91.54,83.91,213.97,677.27,0.0048,0.07,0.004,0.0001,0.005,0.86,0.09,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,30-04-2022,8.92,12.98,2263.5,17.36,6.04,12.15,2.04,102.46,53.6,140.2,5.57,3.36,612.62,0.0006,0.04,0.011,0.0001,0.045,1.58,0.02,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,26-12-2021,8.56,3.45,741.12,34.96,6.63,9.11,0.14,140.05,204,13.23,42.6,3.99,857.85,0.0019,0.11,0.014,0.0002,0.027,0.04,0,0.13
Vrishabhavathi Valley,Hosakerehalli Lake,03-06-2021,8.3,104.29,726.29,33.83,4.22,12.61,0.55,39.67,93.2,96.02,10.32,6.17,39.84,0.0011,0.08,0.013,0.0002,0.014,2.7,0.06,0.13
Vrishabhavathi Valley,Hosakerehalli Lake,12-05-2021,8.81,76.57,351.73,31.07,2.46,10.37,8.53,43.84,215.49,27.47,97.85,110.12,845.59,0.002,0.03,0.019,0.0001,0.013,0.83,0.08,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,17-03-2021,7.31,56.86,2991.03,30.32,2.39,11.67,9.18,60.67,291.73,128.2,9.04,54.09,809.08,0.004,0.16,0.011,0.0002,0.022,0.91,0.01,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,26-02-2023,8.93,102.12,846.88,18.66,2.84,13.71,9.26,81.65,155.62,67.55,5.52,179.4,632,0.0046,0.15,0.018,0.0002,0.033,2.32,0.04,0.1
Vrishabhavathi Valley,Hosakerehalli Lake,18-08-2022,7.42,22.24,2364.64,31.37,1.52,11.23,9.54,157.7,141.41,90.85,11.38,125.35,540.96,0.003,0.25,0.018,0.0002,0.047,0.87,0.08,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,27-01-2022,6.09,112.94,315.73,19.43,6.8,9.45,2.61,83.83,36.97,111.54,44.64,113.48,952.85,0.0031,0.1,0.009,0.0002,0.042,2.68,0.08,0.1
Vrishabhavathi Valley,Hosakerehalli Lake,28-07-2020,6.9,10.1,1351.04,16.77,3.83,3.44,6.47,169.63,54.82,29.69,49.39,104.37,78.51,0.0027,0.14,0.002,0.0002,0.037,0.75,0.06,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,23-02-2024,7.25,134.94,848.48,27.43,0.73,9.1,4.19,74.5,268.44,103.66,85.61,61.57,825.55,0.0049,0.16,0.01,0.0002,0.035,0.33,0.04,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,09-10-2023,7.51,9.72,1599.96,12.04,4.91,14.17,5.14,20.89,132.82,60.53,56.47,249.02,263.3,0.0027,0.29,0.017,0.0001,0.033,2.36,0.09,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,03-01-2023,8.81,97.96,891.35,32.01,1.38,3.8,6.41,55.42,224.53,61.53,15.44,35.86,924.18,0.0015,0.06,0.001,0.0002,0.028,1.8,0.08,0.1
Vrishabhavathi Valley,Hosakerehalli Lake,04-07-2021,6.23,132.01,1995.5,12.21,5.92,3.68,6.65,166.23,151.48,10.26,33.38,203.29,191.49,0.005,0.14,0.014,0.0002,0.024,2.68,0.01,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,09-08-2021,6.12,106.93,1489.11,33.93,0.85,11.57,6.76,133.58,7.61,60.46,70.38,12.08,341.44,0.0026,0.26,0.007,0.0001,0.008,0.44,0,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,04-12-2022,7.44,91.65,2738.97,13.83,5.26,4.17,2.54,172.56,58.16,86.99,61.66,24.42,196.28,0.0049,0.28,0.004,0.0002,0.039,0.56,0.08,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,09-09-2022,7.74,116.74,2368.94,22.38,2.88,4.08,7.54,32.21,129.27,10.88,64.63,167.86,234.39,0.0032,0.03,0.01,0.0001,0.049,1.57,0.02,0.13
Vrishabhavathi Valley,Hosakerehalli Lake,06-09-2022,8.33,51.84,2868.44,17.91,3.25,11.91,0.9,41.13,114.21,117.05,52.92,228.47,608.42,0.0041,0.19,0.004,0.0001,0.019,1.08,0,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,25-11-2020,6.67,136.18,54.41,11.01,6.67,6.98,6.47,145.13,182.89,64.86,67.37,190.7,27.53,0.0003,0.17,0.003,0.0002,0.006,2.9,0.05,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,16-01-2020,8.95,30,524.82,28.36,2.1,8.28,7.73,143.25,288.06,119.15,86.63,20.67,30.6,0.0016,0.05,0.011,0.0001,0.021,2.67,0.06,0.12
Vrishabhavathi Valley,Hosakerehalli Lake,11-01-2024,6.84,109.81,284.81,28.23,6.75,8.18,3.73,132.13,209.42,27.25,10.77,213.53,215.4,0.0033,0.05,0.007,0.0002,0.03,0.75,0.04,0.13
Vrishabhavathi Valley,Hosakerehalli Lake,08-08-2023,7.98,106.1,914.62,33.82,5.54,11.24,6.99,181.16,25.25,109.7,27.18,162.54,638.77,0.0006,0.3,0.018,0.0002,0.042,0.38,0.01,0.13
Vrishabhavathi Valley,Hosakerehalli Lake,25-08-2020,8.19,105.94,1980.03,25.42,1.93,3.6,6.67,47.94,178.14,2.03,97.49,120.92,566.08,0.0008,0.14,0.002,0.0001,0.008,1.67,0.01,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,21-09-2022,8.25,102.71,2730.03,30.74,5.19,7.86,9.47,194.13,60.56,117.99,12.25,149.05,872.05,0.0028,0.3,0.007,0.0001,0.003,1.22,0.02,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,13-11-2022,8.2,94.25,1981.85,35.11,2.55,4.79,4.19,44.62,206.19,70.31,96.23,59,73.06,0.0045,0.14,0.01,0.0001,0.049,1.93,0.04,0.1
Vrishabhavathi Valley,Hosakerehalli Lake,02-03-2022,6.29,43.18,1825.37,18.32,5.35,5.96,5.64,43.28,92.69,8.09,13.56,54.98,363.98,0.0011,0.28,0.005,0.0002,0.038,2.86,0.09,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,05-04-2023,8.1,135.23,2346.65,35.19,3.73,11.84,0.14,188.92,210.5,95.83,96.92,194.26,162.27,0.0037,0.19,0.013,0.0001,0.02,2.15,0.01,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,16-06-2020,6.22,14.94,2202.99,39.05,6.59,10.71,1.99,29.42,225.74,29.34,45.32,244.2,7.07,0.0009,0.27,0.003,0.0002,0.008,0.36,0.08,0.14
Vrishabhavathi Valley,Hosakerehalli Lake,08-07-2023,7.01,40.5,1957.39,36.49,6.71,9.95,3.26,193.91,174.14,85.12,95.06,71.93,766.6,0.0023,0.23,0.018,0.0001,0.037,0.01,0.07,0.13
Vrishabhavathi Valley,Hosakerehalli Lake,02-03-2020,8.08,29.51,1162.52,12.28,2.48,4.26,7.41,80.83,200.95,42.03,63.01,50.67,262.41,0.0014,0.22,0.014,0.0001,0.037,1.34,0.04,0.11
Vrishabhavathi Valley,Hosakerehalli Lake,01-07-2021,6.9,34.14,233.95,26.83,6.91,3.01,7.68,167.07,49.12,107.23,1.19,215.74,559.45,0.0023,0.05,0.007,0.0002,0.021,1.04,0.06,0.15
Vrishabhavathi Valley,Hosakerehalli Lake,20-12-2023,8.62,53.56,1779.6,27.05,4,5.29,5.11,32.12,202.06,140.94,62.85,114.76,78.03,0.0049,0.01,0.006,0.0002,0.018,2.6,0.01,0.12
